AAB	ABELAG AVIATION
MTB	AEROTAXIS METROPOLITANOS, S.A. DE C.V.
MTC	MOUNTAIN AIR COMPANY LTD
MTD	METROJETS LLC
MTE	MT FLY
MTF	INTERJET S.R.L.
MTG	SERVICIOS AEREOS M.T.T., S.A. DE C.V.
MTH	MASSACHUSETTS INSTITUTE OF TECHNOLOGY (LEXINGTON, MA)
MTI	MONTERREY AIR TAXI, S.A. DE C.V.
MTJ	METROJET LIMITED
MTK	AIR METACK, LDA
MTL	RAF-AVIA
MTM	MD AIR LTD
	
MTN	MOUNTAIN AIR CARGO, INC. (DENVER, NC)
MTO	MARATHON AIRLINES
MTP	ISLAND HELICOPTERS, INC. (LONG ISLAND, NY)
MTR	METROFLIGHT INC. (HOUSTON, TX)
MTS	MED JETS, S.A. DE C.V.
MTU	MIDDLE TENNESSEE STATE UNIVERSITY (MTSU)
MTV	MOUNTAIN VALLEY AIR SERVICE, INC. (VANCOUVER, WA)
MTW	MAURITANIA AIRWAYS
MTX	MULTI TAXI, S.A. DE C.V.
MTY	AIR MONTGOMERY
MUC	AIR MUNICH AVIATION AG
MUG	ORACLE AVIATION
MUH	MUKHTARA AIR
MUI	TRANS AIR (HONOLULU, HI)
MUK	MAERSK AIR CARGO UK LTD
MUN	AEROMUNDO EJECUTIVO, S.A. DE C.V.
MUR	ATLAS AIR COMPANY
MUS	AIR ADELPHI LTD
MUT	AZIMUT, LLC
MVA	MISSISSIPPI VALLEY AIRWAYS, INC. (LACROSSE, WI)
MVD	KAVMINVODYAVIA
MVE	MOVE AIRCRAFT FLIGHT SOLUTIONS
MVG	MOLDOVA
MVJ	MIRA VISTA AVIATION
MVK	NORTH STAR AVIATION
MVN	MARVIN LTD
MVP	PREMIER AIR, INC. DBA PREMIER PRIVATE JETS
MVR	MAVERICK AIRWAYS CORPORATION (DENVER, CO)
MVS	SENOK AVIATION (PVT) LTD
MWG	MASWINGS
MWH	ELEMENTAL AVIATION
MWI	MALAWIAN AIRLINES 2014
MWL	GERLACH & ASSOCIATES, LLC D/B/A MIDWEST AIR LINK (VALPARAISO, IN)
MWM	MODERN TRANSPORTE AEREO  DE CARGA S.A.
MWN	MAX AIR SA NIGER
MWS	MALTA WINGS CO. LTD
MWT	MIDWEST AVIATION DIVISION, INC. (MARSHALL, MN)
MWY	MAURITANIENNE AIR WAYS
MXA	AEROLINEA DEL ESTADO MEXICANO S.A. DE C.V.
MXB	MEX BLUE, S.A. DE C.V.
MXD	MALINDO AIRWAYS SDN. BHD. DBA BATIK AIR
MXE	MOCAMBIQUE EXPRESSO
MXF	MAXIMUM FLIGHT ADVANTAGES, LLC (MIAMISBURG, OH)
MXG	PRESIDENCIA DE MEXICO
MXI	MEXICANA INTER, S.A. DE C.V.
MXM	MAXIMUS AIRLINES
MXO	AEROTAXI MEXICANO, S.A. DE C.V.
MXP	MAY AIR XPRESS, INC. (EL DORADO, AR)
MXQ	TRANSPORTES AEREOS MEXIQUENSES, S.A. DE C.V.
MXR	MAXIM AIR (PVT) LTD
MXS	SUNRISE AIRLINES INC. D/B/A MILLON EXPRESS (MIAMI, FL)
MXT	MEXICO TRANSPORTES AEREOS, S.A. DE C.V.
MXU	MAXIMUS AIR CARGO
MXX	MERCHANT EXPRESS AVIATION
MXY	BREEZE AIRWAYS
MYA	MYFLUG H.F.
MYC	MAYAN CREW AIR
MYD	MAYA ISLAND AIR
MYF	MYFLIGHT, S.A. DE C.V.
MYI	MAYAIR, S.A. DE C.V.
MYJ	MY JET
MYK	BEIJING MYKYLIN GENERAL AVIATION CO., LTD.
MYM	MYAIRLINE SDN. BHD.
MYO	DOMINGUEZ TOLEDO, S.A. (GRUPO MAYORAL)
MYP	MANN YADANARPON AIRLINES CO.LTD
MYR	MAYAN AIR, S.A. DE C.V.
MYS	AERO YAQUI MAYO, S. A. DE C.V.
MYU	MY INDO AIRLINES
MYV	LINEAS AEREAS DEL MAYAB, S.A. DE C.V.
MYW	MYWAY AIRLINES CO LTD
MYX	SMARTLYNX AIRLINES ESTONIA
MZA	IRTYSH-AIR
MZH	MERSAL AIR CARGO
MZI	ZORTE AIR, LLC
MZN	AVIATION SPECIALTIES UNLIMITED, INC.
MZS	MAHFOOZ AVIATION
MZT	FIRST MANDARIN BUSINESS AVIATION CO.,LTD
MZY	MERMOZ-ACADEMY
NAA	NORWEGIAN AIR ARGENTINA
NAB	NIGER AIR CARGO
NAC	NORTHERN AIR CARGO, INC. (ANCHORAGE, AK)
NAD	TINADAR AVIATION
NAE	NATIONAL AIRWAYS
NAF	ROYAL NETHERLANDS AIR FORCE (KONINKLIJKE LUCHTMACHT)
NAG	NAEW&C FORCE E-3A FLEET
NAI	NOVAIR
NAK	ENAC
NAL	NORTHWAY AVIATION LTD
NAM	GOVERNMENT AIR TRANSPORT SERVICES (GATS)
NAN	NORWEGIAN AIR NORWAY AS
NAO	NORTH AMERICAN AIRLINES, INC. (JAMAICA, NY)
NAR	AVIACION NACIONAL DE NICARAGUA, S.A. (NICARAGUA AIRWAYS)
NAS	NASAIR
NAT	NORTH ATLANTIC AIR, INC. (DANVERS, MA)
NAU	DANAUS LINEAS AEREAS, S.A. DE C.V.
NAV	NAV FLIGHT PLANNING
NAX	NORWEGIAN AIR SHUTTLE AS
NAY	NAYSA SERVICIOS AEREOS S.L.
NAZ	SERVICIOS AEREOS DEL NAZAS, S.A. DE C.V.
NBE	NOVOSIBIRSK AVIAENTERPRISE
NBK	ALBARKA AIR PLC
NBL	NOBIL AIR
NBN	NORTH BRITISH AIRLINES LTD
NBR	HAUGHEY AIR LTD
NBS	NIMBUS AVIATION
NBT	NORSE ATLANTIC AIRWAYS AS
NCA	NIPPON CARGO AIRLINES CO., LTD.
NCB	NORTH CARIBOU FLYING SERVICE LTD.
NCC	T3 AVIATION, INC.
NCE	NORTHCOAST EXECUTIVE AIRLINES (MIAMISBURG,OH)
NCF	NORFOLK COUNTY FLIGHT COLLEGE LTD
NCG	NEDERLANDSE KUSTWACHT
NCH	CHANCHANGI AIRLINES (NIGERIA) LIMITED
NCJ	NORTH CENTRAL AVIATION, LLC (ST.PAUL, MN)
NCL	ACA-ANCARGO AIR SOCIEDADE DE TRANSPORTE DE CARGA LDA
NCN	NICON AIRWAYS LIMITED
NCO	NATALCO AIR LINES
NCP	CAPITAL AIRLINES LIMITED
NCR	NATIONAL AIR CARGO GROUP, INC. (YPSILANTI, MI)
NCS	SIMPSON AIR LTD.
NCT	NOKSCOOT AIRLINES CO. LTD.
NDA	NORDICA
NDC	NORVEGIAN AIR SHUTTLE SWEDEN AB
NDD	NORDEND SRL
NDF	NAMIBIAN DEFENCE FORCE
NDG	MEDIMPACT HOLDINGS INC.
NDJ	MAIBA AIRWAYS
NDL	CHRONO AVIATION INC.D/B/A CHRONO AVIATION
NDN	TRANSPORTES AEREOS CIELOS ANDINOS S.A.C.
NDR	NORDAIR
NDT	ND AEROTAXIS, S.A. DE C.V.
NDU	UNIVERSITY OF NORTH DAKOTA (GRAND FORKS, ND)
NDY	NORMANDIE AVIATION
NEA	NEW ENGLAND AIRLINES, INC. (WESTERLY, RI)
NEB	DEPT. OF AERONAUTICS, STATE OF NEBRASKA (LINCOLN, NE)
NEC	NECON AIR LTD
NEF	NORDFLYG LOGISTIK AB
NEG	LINEA AEREA DE FUMIG. AGUAS NEGRAS S.A.
NEJ	NETJETS BUSINESS AVIATION LIMITED
NEL	NELLA AIRLINES LTDA
NEN	NORTH-EAST AIRLINES LTD
NEP	MY JET XPRESS AIRLINES SDN BHD
NES	NORTH EAST WEST SOUTH AIRLINES AB
NET	NETWORK AVIATION SERVICES (NIG) LTD
NEW	NORTHEASTERN AVIATION CORPORATION
NEX	NORTHERN EXECUTIVE AVIATION LTD.
NFA	NORTH FLYING A/S
NFC	NORTH ATLANTIC CARGO AS
NFE	NORDICFLITE OY LTD
NFL	NORTHAIRE FREIGHT LINES LTD. (DAVISBURG, MI)
NFT	NEFTEYUGANSK AVIATION DIVISION
NFX	NETFLIX, INC.
NGA	NG SERVICIOS AEREOS
NGB	NORDIC GLOBAL AIRLINES OY
NGC	ANGOSERVICE, LDA.
NGE	ANGEL AIRLINES COMPANY LTD
NGF	AIR CHARITY NETWORK (VIRGINIA BEACH, VA)
NGL	MAX AIR LIMITED
NGN	LEAV
NGO	AIR-ANGOL SOCIEDAD AERONAUTICA, LDA
NGP	AIR NIGERIA PLC
NGR	NIGERIAN AIR FORCE
NGT	AIR DILIJANS
NGV	ANGOAVIA
NGX	NIGERIAN GLOBAL
NHC	NORTHERN HELICOPTER GMBH, EMDEN
NHD	NHV A/S
NHE	NORD HELIKOPTER
NHG	NHT LINHAS AEREAS LTDA.
NHK	UNITED STATES GOVERNMENT, FEDERAL AVIATION ADMINISTRATION
NHL	NORTHUMBRIA HELICOPTERS LIMITED
NHT	NEW HEIGHTS 291 (PTY) LTD
NHX	NOORDZEE HELIKOPTERS VLAANDEREN
NHZ	NHV HELICOPTERS LTD
NIA	NILE AIR
NIE	AEROEJECUTIVA NIETO, S.A. DE C.V.
NIG	AERO CONTRACTORS COMPANY OF NIGERIA LTD.
NIM	AIRNIMBUS
NIN	NIGER AIRLINES
NIR	NORSK FLYTJENESTE AS
NIS	DSP HELICOPTERS
NIT	MIDDLE GEORGIA STATE UNIVERSITY (MACON, GA)
NJA	NEW JAPAN AVIATION CO., LTD
NJC	NASHVILLE JET CHARTERS, INC. (NASHVILLE, TN)
NJE	NETJETS, TRANSPORTES AEREOS S.A.
NJF	NETJETS MIDDLE EAST
NJM	NORTHERN JET MANAGEMENT
NJR	NORJET, S.A. DE C.V.
NJS	NATIONAL JET SYSTEMS GROUP
NJT	NETJET INTERNATIONAL (EAST GRANBY, CT)
NJU	NETJETS AIR TRANSPORT UK LIMITED
NJX	NEOJETS
NJZ	CORPORATE AIR TRAVEL, LLC
NKA	ANKA AVIATION CARGO
NKF	SCANDINAVIAN AIR AMBULANCE AB
NKH	NORSK HELIKOPTERSERVICE AS
NKP	ABAKAN AIR
NKS	SPIRIT AIRLINES, INC. (EASTPOINTE, MI)
NKT	NORTH COUNTRY AVIATION, INC. (GAYLORD, MI)
NKV	NIKOLAEV-AIR, AIRLINE OF SPECIAL PURPOSE
	
NKY	AEROMONKY, S.A. DE C.V.
NKZ	AEROKUZBASS LTD
NLA	PENINSULA AIRWAYS, INC. (ANCHORAGE, AK)
NLE	FAA-WJH TECHNICAL CENTER AIR SHUTTLE PROGRAM
NLF	WESTAIR AVIATION INC.
NLH	NORWEGIAN LONG HAUL AS
NLI	NORTHERN AIR CHARTER (P.R.) INC.
NLJ	NEW LOONG JET CO., LTD.
NLK	ELBRUS-AVIA AIR ENTERPRISE
NLL	NORTH AFRICAN AIR TRANSPORT
NLP	NORTHERN AVIATION COMPANY LIMITED
NLS	NATIONALE LUCHTVAARTSCHOOL B.V.
NLU	INSEL AIR INTERNATIONAL
NLV	NEW LIVINGSTON S.P.A.
NLW	NILE WINGS AVIATION SERVICES
NLY	NIKI LUFTFAHRT GMBH
NMA	NESMA AIRLINES
NMB	AIR NAMIBIA (PTY) LTD
NMD	NOMAD AVIATION (PTY) LTD T/A BAY AIR AVIATION
NME	NAMASTE AIR PVT. LTD
NMG	GENGHIS KHAN AIRLINES CO., LTD.
NMI	PACIFIC WINGS (PAIA, HI)
NMJ	NORTHWOODS AVIATION, INC
NML	GAMBIA NEW MILLENNIUM AIR
NMR	NAMIBIA RESCUE SERVICES
NOA	NATIONAL OCEANIC & ATMOSPHERIC ADMINISTRATION (TAMPA, FL)
NOB	NOBISAIR AB
NOC	NORCOPTER AS
NOD	FLY ADJARA
NOF	FONNAFLY SJO AS
NOH	32 (TR) SQUADRON, RAF NORTHOLT
NOJ	NOVAJET (2106701 ONTARIO INC.)
NOK	NOK AIRLINES PUBLIC CO., LTD
NOL	NATIONAL OVERSEAS AIRLINES COMPANY
NOM	FLYING PHENOM LLC
NOR	BRISTOW NORWAY AS
NOS	NEOS S.P.A.
NOT	LINEA AEREA COSTA NORTE S.A.
NOU	NORDIC UNMANNED AS
NOV	NOVA AIRWAYS
NOW	ROYAL NORWEGIAN AIR FORCE
NOX	NORTH EXPRESS AB
NOY	MERHAV MNF
NOZ	NORWEGIAN AIR SHUTTLE AOC AS
NPC	WESTERN AIR COURIERS, INC. (PORT ORCHARD, WA)
NPG	SUPERNOVA AIRLINES LLC
NPL	AIR NEPAL INTERNATIONAL
NPO	NOVOSIBIRSK AVIATION PRODUCTION ASSOCIATION
NPR	AIR NAPIER LIMITED
NPT	WEST ATLANTIC UK LIMITED
NQN	GRUPO LASA SRL
NRA	NOAR LINHAS AEREAS
NRK	NATURELINK CHARTER (PTY) LTD
NRL	NOLINOR AVIATION
NRN	ROYAL NETHERLANDS NAVY (KONINKLIJKE MARINE)
NRO	AERO RENT, JOINT-STOCK COMPANY
NRP	AERONORD-GRUP
NRR	NATUREAIR
NRS	NORWEGIAN AIR UK LTD.
NRT	NORESTAIR, S.L.
NRW	POLIZEIFLIEGERSTAFFEL NORDRHEIN-WESTFALEN, DUESSELDORF
NRX	NORSE AIR CHARTER
NRZ	SERVICIOS AEREOS MONARREZ, S.A. DE C.V.
NSA	NILE SAFARIS AVIATION
NSC	SOCIETE DE TRANSPORT AERIEN DE MAURITANIE
NSE	SATENA, SERVICIOS DE AERONAVEGACION A TERRITORIOS NAC
NSF	NORTHAMPTONSHIRE SCHOOL OF FLYING LTD
NSH	STERLING AVIATION LLC
NSI	NORTHERN SKIES AVIATION, INC. (LAUREL, MT)
NSJ	NANSHAN JET CO., LTD
NSK	AIR INTERSALONIKA
NSL	NERIC LIMITED
NSM	GLOBAL JET CORPORATION (SCOTTSDALE, AZ
NSN	NASIM AIRLINES
NSO	AEROLINEAS SOSA S.A.
NSP	SAMARITAN'S PURSE
NSR	NINE STAR AIRWAYS CO. LTD.
NSS	NESMA AIRLINES SAUDI ARABIA
NST	PAKISTAN AVIATORS & AVIATION (PVT) LTD
NSW	NORWEGIAN AIR SWEDEN AB
NSY	SHANDONG NANSHAN INTERNATIONAL FLIGHT CO., LTD
NSZ	NORWEGIAN AIR SWEDEN AOC AB
NTA	NORTHERN THUNDERBIRD AIR LTD.
NTB	TRANSPORTES INTERILHAS DE CABO VERDE, SOCIEDADE UNIPESSOAL, SA. TICV
NTC	GIBSON AVIATION (EAU CLAIRE, WI)
NTF	OK AVIATION WINGS
NTG	SERVICIOS INTEGRALES DE AVIACION, S.A. DE C.V.
NTH	HOKKAIDO AIR SYSTEM CO., LTD
NTJ	NEXTJET
NTK	NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION (NATCA)
NTL	AIR ANATOLIA (ANADOLU HAVACILIK A.S.)
NTN	NATIONAL AIRWAYS CORPORATION (PTY.) LTD.
NTR	NATIREVA
NTS	CIRRUS AIR, INC. (DALLAS, TX)
NTT	INTER TROPIC AIRLINES (S.L.) LTD
NTW	MAXAIR, LLC
NTX	AK-AIR GEORGIA
NUA	PRIVATE AIRLINE SERVICES LTD
NUB	NOMAD AVIATION (EUROPE) LTD
NUK	STRAIT AIR (2000) LTD
	
NUL	AEROSERVICIOS DE NUEVO LEON, S.A. DE C.V.
NUM	NOMAD AVIATION AG
NUS	NORTHERN ILLINOIS FLIGHT CENTER, INC. (LAKE IN THE HILLS, IL)
NVC	NAV CANADA
NVD	AVION EXPRESS
NVI	AVIAL NV LTD, AVIATION COMPANY
NVJ	FLY INTERNATIONAL AIRWAYS
NVK	NIZHNEVARTOVSKAVIA
NVM	NAVIERA MEXICANA, S.A. DE C.V.
NVO	ENVUELO, S.L.
NVQ	NOVO AIR
NVR	NOVA AIRLINES AB
NVS	NOUVELLE AIR AFFAIRES GABON
NVT	NATIVE AMERICAN AIR AMBULANCE, INC. (MESA,AZ)
NVY	ROYAL NAVY
NWA	NIGER AIRWAYS
NWB	NIGERIA AIR
NWC	AIRCOMPANY NORTH-WEST LLC
NWD	NEW WORLD JET CORPORATION (RONKONKOMA, NY)
NWF	NORTHWEST FLYERS, INC. (SCHAUMBURG,IL)
NWG	AIRWING AS
NWH	NORTHERN WINGS SA
NWK	NETWORK AVIATION AUSTRALIA
NWL	NORTH WRIGHT AIR LTD
NWS	NORD WIND LLC
NWT	NORTHWEST TERRITORIAL AIRWAYS
NWW	NORTH WEST AIRLINES T/A HALANT INTERNATIONAL PTY LTD
NWX	NATIONWIDE AVIATION
NWY	NEW WAY CARGO AIRLINES LLC
NWZ	NATIONWIDE AIRLINES (ZAMBIA) LIMITED
NXA	NXT AIR LTD
NXC	CONCIAIR
NXN	NEXTON, S.A. DE C.V.
NXS	NEXUS AVIATION LIMITED
NXT	NEXTNET
NXU	NEXUS FLIGHT OPERATIONS SERVICES
NYA	NANYAH AVIATION LTD
NYB	FORCE NAVALE BELGE
NYL	MID AIRLINERS
NYS	NYASA EXPRESS
NYT	YETI AIRLINES (DOMESTIC)
NYX	NYXAIR OU
NZA	NAYZAK AIR TRANSPORT
NZM	MOUNT COOK AIRLINES LTD
OAB	OSH AIR
OAC	ORIENTAL AIRLINES LIMITED
OAD	ORSCOM TOURIST INSTALLATIONS COMPANY
OAE	OMNI AIR INTERNATIONAL, INC. (TULSA, OK)
OAI	TOR AIR AB
OAL	OLYMPIC AIR
OAN	NATO NORTH ATLANTIC TREATY ORGANISATION
OAO	ARKHANGELSK 2 AVIATION DIVISION
OAP	COAPA AIR, S.A. DE C.V.
OAR	GRUPO ONE AIR AVIACION S.L.
OAS	OASIS FLIGHT LTD
OAV	OMNI - AVIACAO E TECNOLOGIA, LDA
OAW	HELVETIC AIRWAYS AG
OBA	AEROBANANA, S.A. DE C.V.
OBC	OLYMPIC BROADCASTING SERVICES
OBI	ORBIFLY
OBJ	COMUNICACION GLOBAL OBJETIVO, S.L.
OBK	AMAKO AIRLINES LIMITED
OBS	ORBEST
OBT	VIRGIN ORBIT
OCA	AEROSERVICIOS CARABOBO, C.A. (ASERCA)
OCE	HELICOCEAN
OCJ	OVERSTAR S.R.L.
OCL	OCL BARBADOS LTD
OCN	EW DISCOVER GMBH
OCO	OSTEND AIR COLLEGE
OCS	OCEAN SKY (UK) LTD
ODI	JONSSON, H. AIR TAXI
ODM	PAN AFRICAN AIRWAYS LTD
ODS	ODESSA AIRLINES
OEA	ORIENT THAI AIRLINES
OED	ORION AIR CHARTER
OES	ART AVIATION FLUGBETRIEBS GMBH
OEW	ONE AIRWAYS
OEY	RIMBUN AIR
OFA	HELITAXI OFAVI, S.A. DE C.V.
OFF	CHALLENGE INTERNATIONAL AIRLINES (MIAMI, FL)
OFL	OPEN FLIGHT
OFT	BUFFALO RIVER AIRCRAFT SERVICES, LLC
OFY	SERVICIOS AEREOS SOFFLY, S.A. DE C.V.
OGA	OASIS AIR
OGI	AEROGISA, S.A. DE C.V.
OGJ	BAKOJI AIRLINES SERVICES LTD
OHC	JET-SELECT (COLOMBUS OH)
OHS	ODENGENE AIR SHUTTLE SERVICES LIMITED
OHY	ONUR HAVA TASIMACILIK AWMS
OIX	ORION-X
OJO	ONEJETONE AIRWAYS
OJT	ORYXJET LTD
OJY	FLORIDA AIR, INC. (FT. LAUDERDALE, FL)
OKA	OKAY AIRWAYS COMPANY LIMITED
OKC	PRIVATE JETS, INC.
OKJ	OKADA AIRLINES LIMITED
OKL	OKLAHOMA DEPARTMENT OF PUBLIC SAFETY, TROOP "O" (BETHANY, OK)
OKP	OKAPI AIRWAYS
OKS	SLOK AIR INTERNATIONAL (GAMBIA) LIMITED
OKT	SOKO AVIATION, S.L.
OLA	OVERLAND AIRWAYS LIMITED
OLC	SOLAR CARGO C.A.
OLD	BEIJING ORENDA TRIBE GENERAL AVIATION CO., LTD.
OLE	OPERADORA DE LINEAS EJECUTIVAS, S.A. DE C.V.
OLL	OPERADORA LLAMINMEX, S.A. DE D.V.
OLO	AERONAVES DOMINICANAS S.R.L.
OLR	COLAEREOS
OLS	SOL S.A. LINEAS AEREAS
OLT	OLT EXPRESS GERMANY GMBH, BREMEN
OLV	GA FLIGHT OF DE, INC. D/B/A AIRSTAR (SWAINSBORO, GA)
OLY	OLYMPUS AIRWAYS
OMA	OMAN AIR
OMB	OMNI - BLU AVIATION
OMD	NOMADIC AVIATION GROUP
OME	OMEGA AERIAL REFUELING SERVICES, INC.
OMF	OMNISKY, S.A. DE C.V.
OMG	AEROMEGA LTD
OMI	OMNI TAXI AEREO S.A.
OML	ORGANIZACOES MAMBRA, LDA
OMN	SERVICIOS AEREOS OMINIA, S. DE R.L. DE C.V.
OMR	MINAIR
OMS	SALAM AIR
ONE	OCEANAIR - LINHAS AEREAS LTDA.
ONG	SONNIG SA
ONI	OMNI AVIATION TRAINING CENTER
ONO	AERONOR, S.A. DE C.V.
ONR	AIR ONE NINE TRANSPORT
ONS	ONE AIRLINES
ONT	GOVERNMENT OF ONTARIO
ONX	AIR ONIX
ONY	25ONLY AVIATION GMBH
OOK	SKYHOOK HELICOPTERS
OOM	ZOOM AIRLINES INC.
OOO	JSC ONECLICK AIRWAYS
OOT	OUT OF THE BLUE AIR SAFARIS (PTY) LTD
OPC	KRYSTEL AIR CHARTER LTD
OPJ	OPERA JET S.R.O.
OPM	FIREBLADE AVIATION (PTY) LTD.
OPN	K & R AVIATION, LLC
OPR	OPERACIONES AVIACORE SA DE CV
OPS	JET-OPS
OPT	FLIGHT OPTIONS (JOHNSON CITY, NY)
OPV	OPERADORA DE VUELOS EJECUTIVOS, S.A. DE C.V.
ORA	MONTAUK CARIBBEAN AIRWAYS, INC. D/B/A LONG ISLAND AIRLINES
ORB	ORENBURG AIRLINES, JSC
ORC	ORIENTAL AIR BRIDGE CO., LTD
ORD	ORANGE AIR SERVICES LIMITED
ORE	ORANGE AVIATION
ORF	OMAN ROYAL FLIGHT
ORG	STATE UNITARY ENTERPRISE ORENBURG REGION, INTERNATIONAL AIRPORT ORENBURG
ORH	ORSHA AIR
ORI	ORIONAIR S.L
ORJ	ORANGE AIR SIERRA LEONE LTD
ORK	ORCA AIRWAYS LTD
ORN	ORANGE AIR LLC (SANFORD, FL)
ORO	CNAIR, S.A.
ORR	OPERADORA TURISTICA AURORA, S.A. DE C.V.
ORS	ACTION AIR
ORT	ORTAC AOC LTD
ORX	ORBIT EKSPRES HAVA YOLLARI A.S. (OREX)
ORZ	ZOREX, S.A.
OSC	ONESKY AVIATION SERVICES SPA (ONESKY CHILE)
OSD	NAOC
OSJ	OSCAR JET
OSL	SOSOLISO LIMITED
OSN	AEROSAN, S.A. DE C.V.
OSS	SERVICIOS AEREOS NOTICIOSOS, S.A. DE C.V.
OST	OKLAHOMA STATE UNIVERSITY
OSU	OHIO STATE UNIVERSITY FLIGHT EDUCATION DIVISION (COLUMBUS, OH)
OSW	JETAFRICA SWAZILAND
OSY	OPEN SKIES CONSULTATIVE COMMISSION (OSCC)
OTA	BUSINESS AVIATIORS INC. (CASPER, WY)
OTC	AIR TRAVEL CO. LTD.
OTF	ORANGE2FLY AIRLINES S.A.
OTG	ONE TWO GO AIRLINES CO., LTD
OTJ	TEN AIRWAYS
OTK	ON-TRACK AVIATION LTD
OTL	SOUTH AIRLINES
OTM	ONETIME AIRLINES ZAMBIA LIMITED
OTN	LASTP-LINHAS AEREAS DE S. TOME E PRINCIPE (SAO TOME AND PRINCIPE AIRLINES)
OTR	ORIENT AIRLINES
OTS	AEROTRESALIA, S.A. DE C.V.
OTT	OTT AIRLINES CO., LTD.
OUA	UNIVERSITY OF OKLAHOMA DEPARTMENT OF AVIATION (NORMAN OK)
OUF	BEIJING EOFA INTERNATIONAL JET CO., LTD.
OUL	OKLAHOMA AVIATION DBA SOULBIRD
OVA	AERO NOVA
OVD	STATE ATM CORPORATION
OVE	AEROMOVER, S.A. DE C.V.
OVV	ORIENT AIR
OWE	OWENAIR (PTY) LTD
OWI	AEROWIN, SA DE CV
OWL	MIAMI VALLEY AVIATION, INC. (MIDDLETOWN, OH)
OWN	AERO OWEN, S.A. DE C.V
OWT	TWO TAXI AEREO LTDA
OXF	OXFORD AVIATION ACADEMY
OXM	ORION (MALTA) LTD
OXS	OXUS AIRWAYS
OYA	FLY OYA INTERNATIONAL
OYE	KODA INTERNATIONAL LTD
OYO	OYONNAIR
OZB	PRIVATE AIRLINES SERVICES LTD
OZJ	OZJET AIRLINES PTY. LTD
OZK	SOMA JETS
OZN	AVIATOR ZONE ACADEMY LLC
OZT	PREMIER FLIGHT CENTER, LLC
OZU	KAM LUX-KZ
OZW	SKYWEST AIRLINES PTY LTD
PAA	PAN AMERICAN AIRWAYS CORPORATION (DANIA, FL)
PAB	PARAIR
PAC	POLAR AIR CARGO WORLDWIDE, INC. (WASHINGTON, DC)
PAD	PROFESSIONAL EXPRESS COURIER SERVICE,INC.(SEATTLE,WA)
PAE	PAISAJES ESPANOLES, S.A.
PAF	PATHFINDER AVIATION LLC
PAG	PERIMETER AVIATION LTD.
PAH	PANORAMA AIR TOUR, INC. (HONOLULU, HI)
PAI	PARADISE AIRWAYS, INC. (SMYRNA, TN)
PAJ	ALIPARMA
PAK	PACIFIC ALASKA AIRLINES (FAIRBANKS, AK)
PAL	PHILIPPINE AIR LINES INC. (PAL)
PAM	MAP LINHAS AEREAS
PAO	POLYNESIAN AIRLINE OPERATIONS LTD.
PAP	LANGTRY FLYING GROUP LTD
PAQ	PACIFIC AIR EXPRESS (SOLOMON ISLANDS) LIMITED
PAR	PACIFIC RIM AIRWAYS PTY LTD
PAS	PELITA AIR SERVICE, PT.
PAT	DEPARTMENT OF THE ARMY, PRIORITY AIR TRANSPORT (DAVISON AVIATION COMMAND) (FORT BELVOIR, VA)
PAU	PALAU AIRWAYS CORP.
PAV	PROAIR AVIATION GMBH, FILDERSTADT
PAW	POINTAIR BURKINA
PAX	PAN AIR, INC. (HOUSTON, TX)
PAZ	POINT AFRIQUE NIGER SA
PBA	PILBARA AIRLINES PTY. LTD.
PBB	POLIZEIHUBSCHRAUBERSTAFFEL BRANDENBURG, DIEPENSEE
PBC	AEROTAXIS PABA, S.A. DE C.V.
PBD	POBEDA AIRLINES, LLC
PBF	PENNSYLVANIA BUREAU OF FORESTRY-FOREST FIRE PROTECTION (HARRISBURG , PA)
PBN	VIRGIN AUSTRALIA AIRLINES (NZ) LTD
PBR	FAST AIR LTD
PBT	AIR PARABAT LTD
PBU	AIR-BURUNDI
PBW	POLIZEIHUBSCHRAUBERSTAFFEL BADEN-WUERTTEMBERG, STUTTGART
PBY	PEARL AIR SERVICES (U) LTD.
PCA	P.C. AIR CO., LTD
PCC	PERFORADORA CENTRAL, S.A. DE C.V.
PCE	PIEDMONT AVIATION SERVICES, INC. D/B/A PACE AIRLINES (WINSTON-SALEM, NC)
PCF	PACIFIC AIR EXPRESS AUSTRALIA PTY LTD
PCG	AEROPOSTAL CARGO DE MEXICO, S.A. DE C.V.
PCH	PILATUS FLUGZEUGWERKE AG
PCI	PROTEA COIN GROUP (PTY) LTD T/A COIN AVIATION
PCJ	PACIFIC JET, INC. (ANCHORAGE, AK)
PCK	AIR PACK EXPRESS S.A.
PCL	PINNACLE AIR GROUP (SPRINGDALE, AR)
PCM	WESTAIR INDUSTRIES, INC. (CHICO, CA)
PCN	PRINCETON AVIATION CORPORATION (PRINCETON, NJ)
PCO	PACIFIC COASTAL AIRLINE
PCP	AEROLINEA PRINCIPAL CHILE S.A.
PCR	PEARSON AVIATION CORPORATION D/B/A PAC AIR(NASHUA,NH)
PCS	AIR PALACE, S.A. DE C.V.
PCT	GERMAN NAVY POLLUTION PATROL
PCW	TRANS-PACIFIC ORIENT AIRWAYS INC.
PDA	PODILIA-AVIA
PDC	POTOMAC AIR, INC. (ARLINGTON, VA)
PDD	PHILLIPS ALASKA, INC. (ANCHORAGE, AK)
PDF	PELICAN AIR SERVICES
